estatura	peso	genero	ingresos	etnia	educacion	educacion_madre	educacion_padre	camina	ejercicio	fumador	tenso	malhumorado	edad
172.72	68.04	femenino	34000	Blanco	17	17	17	5	5	2	2	2	49
167.64	52.16	femenino	5000	Afroamericano	12	12	12	7	4	2	1	1	23
152.4	54.43	femenino	6000	Blanco	12	12	12	1	1	1	0	0	65
180.34	88.45	masculino	17000	Blanco	12	12	12	8	7	1	1	1	28
180.34	63.5	masculino	35000	Blanco	12	NA	NA	1	2	1	0	0	32
185.42	81.65	masculino	4000	Blanco	13	13	13	6	6	2	0	0	18
162.56	52.16	femenino	5000	Blanco	16	16	16	8	6	2	1	1	22
172.72	68.04	femenino	14000	Blanco	14	14	14	4	1	2	0	0	55
167.64	53.52	femenino	10000	Blanco	12	12	12	8	1	2	0	0	57
175.26	70.31	masculino	25000	Blanco	16	16	16	2	6	2	4	4	29
160.02	57.15	femenino	0	Blanco	8	NA	8	1	1	1	0	0	63
177.8	58.97	masculino	87000	Blanco	18	18	18	1	1	2	0	0	60
160.02	58.97	femenino	16000	Blanco	14	14	14	4	6	2	0	0	27
167.64	55.79	femenino	0	Afroamericano	13	13	13	8	3	2	1	1	30
167.64	49.9	femenino	15000	Blanco	12	12	12	5	2	2	2	2	33
162.56	90.72	femenino	0	Blanco	12	NA	NA	4	1	2	3	3	26
157.48	58.97	masculino	16000	Latino	14	14	NA	1	1	2	0	0	28
167.64	86.18	femenino	25000	Blanco	18	18	18	8	2	2	0	0	67
162.56	52.62	femenino	16500	Blanco	14	14	14	8	7	2	5	5	43
172.72	77.11	masculino	15000	Blanco	12	12	12	3	7	1	0	0	73
162.56	86.18	femenino	4000	Blanco	9	9	NA	2	1	2	0	0	68
170.18	155.13	femenino	3840	Blanco	9	9	NA	5	1	2	0	0	52
152.4	40.82	femenino	5000	Blanco	6	NA	NA	1	1	2	0	0	78
180.34	90.72	masculino	22000	Blanco	12	12	12	1	6	2	0	0	39
152.4	61.23	femenino	200	Blanco	16	16	16	8	1	2	3	3	53
167.64	63.5	femenino	26000	Blanco	16	16	16	2	5	2	3	3	27
167.64	54.43	femenino	2500	Blanco	15	15	15	1	1	2	2	2	21
165.1	56.7	femenino	17000	Blanco	14	14	14	1	1	2	0	0	39
160.02	50.8	femenino	25000	Blanco	16	16	16	4	5	2	0	0	35
177.8	58.97	femenino	8000	Blanco	13	13	13	8	7	2	1	1	22
172.72	97.52	masculino	25000	Blanco	12	NA	12	1	3	2	0	0	31
165.1	44.45	femenino	0	Blanco	13	13	13	7	1	2	0	0	63
167.64	62.6	femenino	12000	Blanco	13	13	13	4	1	1	0	0	68
157.48	55.79	femenino	10000	Blanco	12	12	12	8	6	1	0	0	47
152.4	47.63	femenino	5000	Blanco	8	8	8	7	1	2	0	0	77
193.04	99.79	masculino	1.00E+05	Blanco	16	16	16	3	6	2	0	0	51
167.64	63.5	femenino	10000	Blanco	15	15	15	8	1	1	2	2	67
162.56	78.47	femenino	0	Blanco	14	14	14	4	1	1	0	0	38
182.88	83.91	masculino	15000	Blanco	12	12	12	8	2	2	0	0	39
167.64	86.18	femenino	45000	Other	12	12	12	8	6	2	0	0	43
175.26	86.18	masculino	15000	Afroamericano	11	NA	NA	4	4	2	0	0	73
170.18	52.16	femenino	2400	Latino	8	8	8	8	4	1	1	1	39
172.72	68.04	masculino	30000	Latino	12	12	12	4	6	2	2	2	32
177.8	68.04	masculino	30000	Blanco	12	12	12	5	6	2	1	1	33
157.48	56.7	femenino	10000	Blanco	12	12	12	6	4	2	5	5	38
160.02	62.14	femenino	5000	Blanco	13	13	13	7	2	1	0	0	26
167.64	56.7	femenino	12000	Blanco	13	13	13	1	1	2	5	5	63
177.8	36.29	femenino	20000	Blanco	10	10	10	2	1	2	0	0	61
172.72	72.57	femenino	20000	Blanco	12	12	12	3	1	2	1	1	36
177.8	72.57	masculino	20000	Blanco	14	14	14	8	7	2	0	0	23
165.1	56.7	femenino	25000	Blanco	18	18	18	8	7	2	1	1	57
172.72	49.9	femenino	5000	Blanco	8	NA	NA	1	4	2	0	0	82
167.64	60.33	femenino	0	Blanco	12	12	12	3	1	2	4	4	59
180.34	81.65	masculino	25000	Blanco	18	18	18	8	1	2	0	0	76
167.64	61.23	femenino	1200	Blanco	12	12	12	7	7	2	2	2	20
157.48	58.97	femenino	5000	Blanco	12	12	NA	6	4	2	0	0	69
172.72	54.43	femenino	700	Blanco	16	16	16	4	5	2	0	0	32
177.8	68.04	masculino	20000	Blanco	16	16	16	1	4	1	0	0	27
154.94	49.9	femenino	10000	Latino	12	12	12	8	6	1	0	0	22
160.02	58.06	femenino	30000	Blanco	12	12	12	7	7	2	0	0	73
182.88	83.91	masculino	25000	Latino	8	NA	NA	8	1	2	0	0	63
162.56	90.72	femenino	40000	Blanco	14	14	NA	8	7	2	0	0	56
170.18	70.31	masculino	25000	Blanco	12	NA	NA	8	7	2	0	0	89
167.64	61.23	femenino	45000	Blanco	18	18	18	5	2	2	0	0	65
154.94	58.97	femenino	10000	Blanco	17	17	17	7	1	2	0	0	79
175.26	59.87	femenino	60000	Blanco	18	18	18	8	1	2	0	0	63
157.48	46.72	femenino	45000	Blanco	12	12	12	8	1	2	0	0	56
162.56	68.04	femenino	0	Blanco	12	NA	NA	4	7	2	3	3	21
172.72	58.97	femenino	18000	Blanco	12	12	12	7	1	1	0	0	66
152.4	58.06	femenino	15000	Blanco	12	NA	NA	4	5	2	5	5	74
180.34	70.31	masculino	50000	Blanco	18	18	18	8	3	2	1	1	42
162.56	70.31	femenino	16040	Blanco	12	NA	NA	8	1	2	3	3	33
170.18	63.5	femenino	15000	Afroamericano	14	14	14	8	1	1	7	7	30
175.26	72.57	masculino	10000	Blanco	17	17	NA	1	7	2	2	2	23
170.18	83.91	femenino	33000	Blanco	13	13	13	2	1	2	0	0	43
172.72	58.97	femenino	18000	Blanco	12	12	12	7	7	2	0	0	30
160.02	47.63	femenino	15000	Blanco	12	12	12	7	1	2	7	7	37
180.34	65.77	masculino	21000	Blanco	12	NA	12	4	7	2	0	0	22
162.56	56.25	femenino	21000	Afroamericano	17	17	17	3	1	2	0	0	43
172.72	77.11	masculino	37000	Blanco	11	11	11	4	4	2	2	2	37
172.72	57.15	femenino	38000	Blanco	17	17	17	7	6	2	2	2	44
167.64	64.41	femenino	17000	Latino	14	14	14	4	4	1	0	0	43
167.64	58.97	femenino	0	Blanco	12	12	12	4	3	1	2	2	29
167.64	58.97	femenino	0	Other	16	16	16	8	2	2	0	0	32
152.4	45.36	femenino	15000	Blanco	16	16	16	1	1	2	1	1	91
195.58	95.25	masculino	32000	Blanco	16	16	16	1	7	2	1	1	30
170.18	72.57	femenino	27500	Blanco	12	12	12	4	1	2	0	0	58
167.64	63.5	masculino	15000	Blanco	12	NA	NA	8	1	1	0	0	76
157.48	54.43	femenino	16500	Blanco	12	12	12	8	1	1	3	3	44
162.56	53.52	femenino	0	Blanco	17	17	17	8	6	2	5	5	30
182.88	79.38	femenino	0	Blanco	12	12	12	7	1	2	2	2	51
170.18	68.04	femenino	25000	Blanco	18	18	18	7	5	2	1	1	35
154.94	52.62	femenino	27000	Blanco	18	18	18	4	7	2	2	2	43
162.56	99.79	femenino	5000	Blanco	12	NA	12	5	1	1	7	7	28
157.48	56.7	femenino	70000	Blanco	16	16	16	8	1	2	0	0	38
160.02	68.04	femenino	5000	Blanco	12	12	12	4	5	2	2	2	40
172.72	61.23	masculino	5000	Blanco	16	16	16	1	4	2	1	1	24
175.26	71.67	masculino	62000	Other	18	18	18	4	1	2	1	1	30
162.56	72.57	femenino	15000	Afroamericano	12	12	12	8	1	1	0	0	59
162.56	71.67	femenino	20000	Blanco	15	15	15	8	4	1	0	0	26
182.88	83.91	masculino	4000	Blanco	15	15	15	4	5	1	2	2	21
182.88	78.02	masculino	75000	Blanco	12	12	12	7	6	2	0	0	39
162.56	58.97	femenino	60000	Blanco	16	16	16	5	1	2	2	2	35
154.94	68.04	femenino	5000	Blanco	13	13	13	8	1	2	7	7	31
187.96	104.33	masculino	30000	Blanco	12	12	12	7	4	1	3	3	38
177.8	74.84	masculino	70000	Blanco	14	14	14	5	4	1	2	2	35
162.56	52.16	femenino	5000	Blanco	16	16	16	8	1	2	0	0	60
180.34	88.45	masculino	50000	Blanco	16	16	16	8	4	1	0	0	41
160.02	54.43	femenino	44000	Blanco	12	12	12	8	6	1	0	0	39
185.42	97.52	masculino	40000	Blanco	18	18	18	4	4	1	0	0	40
162.56	60.33	femenino	30000	Blanco	14	14	14	4	7	2	2	2	43
185.42	90.72	masculino	15000	Afroamericano	14	14	NA	8	7	2	2	2	24
160.02	68.04	femenino	35000	Blanco	15	15	15	6	1	2	0	0	31
157.48	58.97	femenino	0	Blanco	16	16	16	5	1	2	6	6	32
157.48	63.5	femenino	10000	Blanco	16	16	16	3	1	2	7	7	40
177.8	77.11	femenino	23000	Blanco	17	17	17	6	3	2	5	5	42
157.48	52.16	femenino	0	Blanco	12	12	12	1	1	2	7	7	39
180.34	79.38	masculino	45000	Blanco	17	17	17	6	1	2	0	0	62
180.34	77.11	masculino	15000	Blanco	14	14	14	8	6	1	0	0	31
177.8	76.66	femenino	4000	Blanco	14	14	14	8	1	2	0	0	71
170.18	72.57	masculino	17000	Blanco	14	14	14	1	6	2	0	0	31
162.56	58.97	femenino	30000	Blanco	12	12	12	6	4	2	3	3	32
170.18	50.8	femenino	27500	Blanco	12	12	12	3	3	1	1	1	30
157.48	63.5	femenino	5688	Blanco	8	8	NA	6	1	2	3	3	69
157.48	62.14	femenino	18000	Latino	13	13	13	6	1	2	0	0	56
170.18	77.11	masculino	35000	Blanco	14	14	14	6	7	2	3	3	36
167.64	72.57	femenino	45000	Blanco	17	17	17	8	1	2	0	0	32
172.72	83.91	masculino	43000	Afroamericano	13	13	13	7	1	2	7	7	44
157.48	63.5	femenino	32000	Afroamericano	14	14	14	6	2	2	1	1	44
157.48	53.52	femenino	25000	Afroamericano	12	12	NA	7	7	2	0	0	20
167.64	67.13	femenino	0	Afroamericano	5	5	NA	6	1	2	1	1	51
172.72	74.84	femenino	10000	Afroamericano	18	18	18	3	2	2	4	4	56
165.1	58.97	femenino	50000	Latino	12	12	12	8	1	2	1	1	38
187.96	72.57	masculino	15000	Blanco	12	12	12	2	5	1	3	3	20
187.96	83.91	masculino	60000	Blanco	13	13	13	8	3	1	0	0	45
180.34	79.38	masculino	30000	Blanco	15	15	15	1	1	2	0	0	23
172.72	68.04	femenino	21000	Other	12	12	12	8	4	2	5	5	50
157.48	49.9	femenino	2400	Blanco	16	16	16	3	4	2	7	7	22
172.72	108.86	femenino	5000	Blanco	10	10	10	8	7	1	0	0	50
157.48	68.04	femenino	35000	Afroamericano	15	15	15	2	1	2	2	2	42
167.64	61.69	femenino	1000	Blanco	15	15	15	5	7	2	0	0	28
172.72	77.11	masculino	27000	Blanco	12	12	12	8	1	1	3	3	27
152.4	52.16	femenino	6600	Latino	14	14	14	8	6	1	2	2	28
172.72	74.39	masculino	16000	Blanco	8	8	8	4	1	2	2	2	43
182.88	83.91	masculino	90000	Blanco	12	12	12	8	7	2	6	6	26
167.64	83.91	femenino	8000	Blanco	12	12	NA	5	2	1	0	0	42
172.72	68.04	masculino	20000	Blanco	10	NA	NA	1	1	2	0	0	32
172.72	58.97	femenino	15000	Blanco	12	12	12	6	7	1	5	5	18
175.26	81.65	femenino	12000	Blanco	12	12	12	8	1	2	0	0	60
160.02	77.11	femenino	25000	Blanco	9	9	NA	8	2	2	2	2	67
162.56	58.06	femenino	24000	Blanco	16	16	16	7	3	2	0	0	46
165.1	79.38	femenino	20000	Blanco	14	14	14	8	3	2	0	0	39
154.94	58.06	femenino	19000	Blanco	12	12	12	8	1	2	0	0	46
180.34	81.65	masculino	25000	Blanco	8	NA	8	3	1	1	0	0	53
182.88	78.02	masculino	10000	Blanco	12	12	12	8	1	2	0	0	49
167.64	56.7	femenino	40000	Blanco	16	16	16	8	1	1	1	1	34
175.26	79.38	masculino	62000	Afroamericano	8	NA	NA	1	1	2	0	0	35
160.02	47.63	femenino	25000	Afroamericano	13	13	13	7	6	2	3	3	38
157.48	NA	femenino	0	Blanco	10	10	NA	8	1	1	6	6	57
152.4	65.77	femenino	0	Latino	10	10	NA	8	1	2	0	0	48
157.48	62.6	femenino	10000	Blanco	8	NA	NA	2	1	2	0	0	88
172.72	72.57	masculino	25000	Blanco	14	14	14	8	1	2	0	0	64
177.8	68.04	masculino	25000	Blanco	12	12	NA	4	6	2	0	0	24
180.34	74.84	masculino	25000	Blanco	14	14	14	4	5	1	0	0	32
180.34	94.8	masculino	19000	Blanco	16	16	16	8	4	2	4	4	61
172.72	95.25	masculino	44000	Blanco	16	16	16	4	4	2	2	2	48
167.64	65.77	femenino	0	Blanco	12	12	12	8	6	2	0	0	19
160.02	63.5	femenino	0	Blanco	18	18	18	8	1	1	0	0	55
152.4	47.63	femenino	15000	Blanco	14	14	14	8	2	1	0	0	49
160.02	62.14	femenino	17000	Blanco	12	12	NA	5	1	2	5	5	36
172.72	68.04	masculino	24000	Blanco	12	12	12	1	1	2	0	0	56
177.8	68.04	masculino	50000	Blanco	16	16	16	8	6	2	0	0	38
162.56	77.11	femenino	23000	Blanco	12	12	12	8	1	2	7	7	37
177.8	64.86	masculino	13000	Blanco	12	12	12	8	7	2	0	0	74
167.64	80.74	femenino	20000	Afroamericano	NA	NA	NA	8	1	2	0	0	72
167.64	NA	femenino	45000	Blanco	12	12	12	4	7	1	7	7	49
172.72	81.65	masculino	65000	Blanco	16	16	16	1	6	2	1	1	46
154.94	61.23	femenino	7000	Blanco	12	12	NA	4	1	2	3	3	63
172.72	81.65	masculino	40000	Blanco	18	18	18	8	2	2	0	0	63
167.64	65.77	femenino	15000	Blanco	17	17	17	7	1	2	3	3	43
177.8	74.39	masculino	20000	Blanco	16	16	16	5	5	2	0	0	25
172.72	68.04	masculino	25000	Blanco	6	NA	NA	1	1	1	0	0	77
180.34	79.38	masculino	20000	Blanco	12	12	12	8	2	2	7	7	50
160.02	79.38	masculino	5000	Blanco	9	NA	9	2	1	2	0	0	67
165.1	88.45	femenino	20000	Blanco	12	12	12	8	1	2	0	0	42
167.64	68.04	femenino	25000	Blanco	12	12	12	3	1	2	0	0	49
162.56	49.9	femenino	15000	Blanco	14	14	14	8	6	2	0	0	20
177.8	88.45	masculino	49000	Blanco	13	13	13	7	7	1	0	0	37
177.8	74.84	masculino	25000	Blanco	8	8	8	8	7	1	0	0	24
162.56	46.27	femenino	0	Blanco	12	NA	12	3	1	2	3	3	36
160.02	68.04	femenino	0	Blanco	16	16	16	6	4	2	7	7	35
157.48	71.67	femenino	25000	Blanco	12	12	12	5	1	2	0	0	65
165.1	72.57	femenino	30000	Blanco	12	12	12	5	1	2	0	0	67
167.64	64.41	femenino	25000	Blanco	12	12	12	8	1	2	1	1	62
152.4	56.7	femenino	35000	Blanco	16	16	16	8	1	2	0	0	72
167.64	58.06	femenino	11000	Blanco	14	14	14	7	1	2	0	0	57
154.94	72.57	femenino	16000	Blanco	15	15	15	3	7	2	1	1	38
182.88	65.77	masculino	35000	Blanco	14	14	14	1	7	2	2	2	43
187.96	108.86	masculino	125000	Blanco	18	18	18	4	1	2	7	7	45
170.18	83.91	femenino	23000	Blanco	12	12	12	3	1	1	2	2	47
167.64	77.11	femenino	17000	Blanco	16	16	16	1	1	2	1	1	28
157.48	56.7	femenino	0	Blanco	13	13	13	2	2	1	7	7	31
157.48	52.16	femenino	27000	Blanco	12	12	12	2	1	2	3	3	41
182.88	81.65	masculino	70000	Blanco	14	14	14	8	7	2	0	0	32
165.1	77.11	femenino	35000	Blanco	15	15	15	8	1	2	0	0	47
152.4	68.04	femenino	10000	Blanco	12	12	12	1	1	1	3	3	62
162.56	48.53	femenino	15000	Blanco	13	NA	13	8	4	1	4	4	30
157.48	61.23	femenino	35000	Blanco	15	15	15	6	6	2	0	0	39
167.64	58.97	femenino	15000	Blanco	12	12	12	8	5	2	1	1	38
162.56	113.4	femenino	12000	Blanco	12	12	12	7	6	2	0	0	39
180.34	61.23	masculino	8000	Blanco	12	NA	NA	1	1	1	0	0	68
165.1	58.97	femenino	8000	Blanco	12	12	12	7	1	1	0	0	50
185.42	102.06	masculino	35000	Blanco	18	18	18	5	2	2	0	0	50
175.26	79.38	masculino	45000	Blanco	11	NA	NA	8	1	1	0	0	51
162.56	79.38	femenino	0	Blanco	12	12	12	8	7	2	0	0	58
162.56	53.52	femenino	5000	Blanco	12	12	12	7	7	2	4	4	27
162.56	55.79	femenino	15000	Blanco	14	14	14	4	2	2	0	0	22
154.94	61.69	femenino	15000	Blanco	12	12	12	6	1	2	3	3	77
170.18	108.86	femenino	24000	Blanco	18	18	18	7	2	2	3	3	51
157.48	85.73	femenino	25000	Blanco	13	13	13	5	1	1	5	5	32
160.02	74.84	femenino	25000	Afroamericano	14	14	14	4	2	2	0	0	54
170.18	47.63	masculino	20000	Other	10	10	NA	1	1	1	0	0	28
172.72	63.5	femenino	24000	Blanco	12	12	12	8	4	2	0	0	24
182.88	74.84	masculino	44000	Blanco	16	16	16	8	4	2	1	1	46
177.8	84.82	masculino	69000	Blanco	12	12	12	7	1	1	0	0	38
177.8	85.28	masculino	62000	Blanco	18	18	18	8	4	2	0	0	44
152.4	65.77	femenino	25000	Afroamericano	15	15	15	2	1	2	1	1	65
170.18	77.11	masculino	32000	Afroamericano	14	14	14	6	6	2	0	0	32
160.02	56.7	femenino	20000	Afroamericano	12	12	12	8	1	1	0	0	33
167.64	50.8	femenino	32000	Other	18	18	18	5	2	2	0	0	35
167.64	61.23	femenino	25000	Blanco	17	17	17	8	5	2	1	1	50
180.34	83.91	masculino	170000	Blanco	18	18	18	5	4	2	0	0	45
167.64	83.91	femenino	0	Afroamericano	11	11	11	8	5	2	2	2	29
170.18	77.11	masculino	35000	Blanco	16	16	16	1	7	2	0	0	33
193.04	88	masculino	40000	Afroamericano	16	16	16	5	6	2	1	1	38
175.26	70.31	masculino	33000	Blanco	14	14	14	5	7	2	3	3	30
165.1	65.77	femenino	18000	Blanco	12	12	12	2	3	2	0	0	22
157.48	54.43	femenino	30000	Blanco	13	13	13	2	1	1	1	1	43
157.48	50.8	femenino	26000	Blanco	12	12	12	2	1	1	7	7	31
157.48	54.43	femenino	5000	Blanco	12	12	12	2	2	1	4	4	21
175.26	73.94	femenino	5000	Blanco	12	12	12	2	1	1	7	7	18
157.48	58.97	femenino	20000	Blanco	16	16	16	8	1	2	0	0	73
154.94	47.63	femenino	17000	Blanco	12	12	12	5	6	1	0	0	30
165.1	62.6	femenino	32000	Blanco	14	14	14	2	1	1	2	2	28
182.88	77.11	masculino	15000	Blanco	14	14	14	7	6	2	0	0	22
167.64	54.43	femenino	0	Blanco	17	17	17	8	6	2	3	3	41
182.88	112.49	masculino	50000	Blanco	14	14	14	8	1	2	0	0	55
162.56	62.6	femenino	8000	Blanco	12	NA	NA	3	2	2	2	2	39
180.34	86.18	masculino	40000	Blanco	14	14	14	8	3	2	0	0	51
182.88	83.91	masculino	40000	Blanco	15	15	15	8	6	2	3	3	41
167.64	58.97	masculino	32750	Blanco	12	12	NA	7	5	1	0	0	34
172.72	77.11	masculino	5000	Blanco	12	12	12	8	3	1	5	5	20
165.1	83.91	femenino	20000	Blanco	14	14	14	3	1	2	0	0	69
165.1	58.06	femenino	36000	Afroamericano	15	15	15	8	7	2	0	0	39
157.48	77.11	femenino	6000	Blanco	12	NA	NA	3	7	2	0	0	64
167.64	72.57	femenino	12000	Latino	14	14	14	7	7	2	2	2	34
170.18	68.04	masculino	60000	Blanco	14	14	14	8	7	2	0	0	63
162.56	61.23	femenino	40000	Blanco	13	13	13	8	2	1	0	0	44
187.96	83.91	masculino	5000	Latino	13	13	13	5	7	2	0	0	19
160.02	53.07	femenino	43000	Blanco	12	12	12	5	6	2	0	0	38
170.18	68.04	femenino	45000	Blanco	16	16	16	8	1	2	3	3	34
172.72	86.18	femenino	6000	Blanco	18	18	18	3	1	2	5	5	39
162.56	69.85	femenino	8000	Other	10	NA	10	7	1	2	0	0	82
162.56	77.11	femenino	20000	Afroamericano	13	13	13	8	1	2	5	5	39
167.64	74.84	masculino	17000	Afroamericano	12	12	12	8	6	2	0	0	23
165.1	50.8	femenino	2000	Blanco	12	NA	NA	6	1	1	7	7	32
165.1	81.65	masculino	65000	Blanco	12	12	12	8	3	2	0	0	28
182.88	81.65	masculino	50000	Blanco	12	12	12	4	4	2	1	1	41
172.72	58.06	femenino	0	Blanco	11	11	11	6	5	1	1	1	54
160.02	77.11	femenino	0	Blanco	11	11	11	5	3	2	0	0	29
177.8	99.79	masculino	15000	Blanco	13	NA	NA	1	1	2	0	0	21
172.72	63.5	femenino	11000	Blanco	12	12	12	8	1	2	1	1	38
187.96	86.18	masculino	35000	Blanco	18	18	18	5	7	2	0	0	30
160.02	83.91	masculino	27000	Blanco	12	12	12	1	2	2	1	1	33
162.56	61.23	femenino	3500	Blanco	12	12	12	8	1	2	0	0	61
165.1	59.87	femenino	15000	Blanco	7	7	7	1	1	1	0	0	77
172.72	81.65	masculino	42000	Blanco	12	12	12	8	4	1	2	2	37
154.94	90.72	femenino	15000	Blanco	12	12	NA	5	1	2	0	0	61
170.18	58.97	femenino	20000	Blanco	18	18	18	3	3	2	0	0	29
170.18	56.7	femenino	15000	Blanco	12	12	12	8	1	1	3	3	29
185.42	93.89	masculino	10000	Blanco	12	12	12	2	7	2	1	1	21
157.48	47.63	femenino	0	Blanco	12	NA	NA	1	1	1	2	2	48
177.8	79.83	masculino	6000	Blanco	8	8	8	8	7	2	0	0	78
180.34	90.72	masculino	25000	Blanco	12	NA	NA	5	1	2	2	2	80
165.1	90.72	femenino	17000	Latino	16	NA	NA	8	1	2	3	3	23
175.26	67.13	masculino	35000	Latino	16	16	16	8	1	2	0	0	65
195.58	92.08	masculino	28000	Blanco	14	14	14	8	7	2	0	0	28
